VIN,year,model,description,certified,convertible,M,Mileage,Location,interior,exterior,engine,fuel,transmission,drivetrain,mpg_hw,mpg_city,driving_assistance,executive,luxury_rear_seating,M_sport,price
3MW5R1J02M8B60079,2021,3 Series,330i Sedan NA,0,0,0,2443,CA,Canberra Beige SensaTec,Jet Black,4 Cylinder Engine 2.0L,Gasoline,Automatic,RWD,36,26,0,0,0,0,40995
3MW5R1J03M8B52766,2021,3 Series,330i Sedan NA,0,0,0,2955,CA,Black SensaTec,Alpine White,4 Cylinder Engine 2.0L,Gasoline,Automatic,RWD,36,26,1,0,0,0,41995
3MW5R1J06M8B61848,2021,3 Series,330i Sedan NA,0,0,0,2706,CA,Canberra Beige SensaTec,Blue Ridge Mountain Metallic,4 Cylinder Engine 2.0L,Gasoline,Automatic,RWD,36,26,1,0,0,0,42995
3MW5U7J00M8B55383,2021,3 Series,M340i Sedan NA,0,0,1,4829,CA,Black SensaTec,Black Sapphire Metallic,Straight 6 Cylinder Engine 3.0L,Hybrid,Automatic,RWD,32,23,1,0,0,0,52995
3MW5U7J00M8B59241,2021,3 Series,M340i Sedan NA,0,0,1,3268,CA,Black Leather w/blue stitching,Mineral Grey Metallic,Straight 6 Cylinder Engine 3.0L,Hybrid,Automatic,RWD,32,23,1,0,0,0,54995
3MW5U7J01M8B54680,2021,3 Series,M340i Sedan NA,0,0,1,3470,CA,Oyster Vernasca Leather,Portimao Blue Metallic,Straight 6 Cylinder Engine 3.0L,Hybrid,Automatic,RWD,32,23,1,0,0,0,55995
3MW5U7J04M8B63292,2021,3 Series,M340i Sedan NA,0,0,1,2098,CA,Black SensaTec,Alpine White,Straight 6 Cylinder Engine 3.0L,Hybrid,Automatic,RWD,32,23,0,0,0,0,53995
3MW5U7J09M8B53342,2021,3 Series,M340i Sedan NA,0,0,1,2840,CA,Black SensaTec,Alpine White,Straight 6 Cylinder Engine 3.0L,Hybrid,Automatic,RWD,32,23,0,0,0,0,51995
5UX2V1C0XM9D90538,2021,X4,X4 xDrive30i,0,0,0,4807,CA,Black SensaTec,Carbon Black Metallic,4 Cylinder Engine 2.0L,Gasoline,Automatic,AWD,29,23,0,0,0,1,52995
5UXCR6C56KLK83114,2019,X5,X5 xDrive40i,1,0,0,26992,CA,Coffee Vernasca Leather,Mineral White Metallic,Straight 6 Cylinder Engine 3.0L,Gasoline,Automatic,AWD,26,20,0,0,0,0,59995
5UXJU2C5XKLN67098,2019,X5,X5 xDrive50i,1,0,0,26653,CA,Black Vernasca Leather,Black Sapphire Metallic,8 Cylinder Engine 4.4L,Gasoline,Automatic,AWD,22,17,0,0,0,1,68995
5UXKR0C3XH0X83178,2017,X5,X5 xDrive35i,0,0,0,21980,CA,Black SensaTec,Space Gray Metallic,Straight 6 Cylinder Engine 3.0L,Gasoline,Automatic,AWD,24,18,0,0,0,0,39995
5UXKR0C50JL072675,2018,X5,X5 xDrive35i,1,0,0,30043,CA,Black Dakota Leather,Space Gray Metallic,Straight 6 Cylinder Engine 3.0L,Gasoline,Automatic,AWD,24,18,1,0,0,0,43995
5UXKR0C52J0X91153,2018,X5,X5 xDrive35i,1,0,0,29798,CA,Black Dakota Leather,Alpine White,Straight 6 Cylinder Engine 3.0L,Gasoline,Automatic,AWD,24,18,0,0,0,0,43995
5UXKR0C52JL070247,2018,X5,X5 xDrive35i,1,0,0,35869,CA,Black Dakota Leather,Glacier Silver Metallic,Straight 6 Cylinder Engine 3.0L,Gasoline,Automatic,AWD,24,18,1,0,0,0,42995
5UXKR0C53J0Y02760,2018,X5,X5 xDrive35i,1,0,0,25783,CA,Mocha Dakota Leather,Black Sapphire Metallic,Straight 6 Cylinder Engine 3.0L,Gasoline,Automatic,AWD,24,18,1,0,0,0,44995
5UXKR0C54J0Y01679,2018,X5,X5 xDrive35i,1,0,0,37482,CA,Black Dakota Leather,Space Gray Metallic,Straight 6 Cylinder Engine 3.0L,Gasoline,Automatic,AWD,24,18,1,0,0,0,43995
5UXKR0C58J0Y03273,2018,X5,X5 xDrive35i,1,0,0,40462,CA,Black Dakota Leather,Dark Graphite Metallic,Straight 6 Cylinder Engine 3.0L,Gasoline,Automatic,AWD,24,18,1,0,0,0,44995
5UXKR0C58J0Y05251,2018,X5,X5 xDrive35i,1,0,0,23614,CA,Black Dakota Leather,Dark Graphite Metallic,Straight 6 Cylinder Engine 3.0L,Gasoline,Automatic,AWD,24,18,1,0,0,0,45995
5UXKR0C59J0Y02410,2018,X5,X5 xDrive35i,1,0,0,32664,CA,Black SensaTec,Space Gray Metallic,Straight 6 Cylinder Engine 3.0L,Gasoline,Automatic,AWD,24,18,0,0,0,0,41995
WBAJR3C0XLWW85050,2020,5 Series,530i Sedan,0,0,0,2987,CA,Mocha Nappa Leather,Mineral White Metallic,4 Cylinder Engine 2.0L,Gasoline,Automatic,RWD,33,25,1,0,0,0,48995
WBAJR7C05LCE44671,2020,5 Series,530i xDrive Sedan,0,0,0,3089,CA,Black Dakota Leather,Jet Black,4 Cylinder Engine 2.0L,Gasoline,Automatic,AWD,31,24,0,0,0,0,49995
WBAJV6C52JBC99500,2018,6 Series,640i xDrive Gran Turismo,1,0,0,26974,CA,Leather Dakota Black/Blue Stit,Dark Graphite Metallic,Straight 6 Cylinder Engine 3.0L,Gasoline,Automatic,AWD,28,20,1,1,0,1,45995
WBAPL5C50BA742564,2011,3 Series,335i xDrive Sedan,0,0,0,110432,CA,Black Dakota Leather,Space Gray Metallic,Straight 6 Cylinder Engine 3.0L,Gasoline,Manual,AWD,26,19,0,0,0,1,10995
WBAPN7C54BA781079,2011,3 Series,335d Sedan,0,0,0,50532,CA,Black Dakota Leather,Titanium Silver Metallic,Straight 6 Cylinder Engine 3.0L,Diesel,Automatic,RWD,36,23,0,0,0,0,15995
WBAVB73588KY63738,2008,3 Series,335i Sedan,0,0,0,103832,CA,Terra Brown Dakota Leather,Black Sapphire Metallic,Straight 6 Cylinder Engine 3.0L,Gasoline,Automatic,RWD,29,19,0,0,0,0,47175
WBAVM1C53FV319537,2015,X1,X1 sDrive28i,0,0,0,80968,CA,Black Nevada Leather,Midnight Blue Metallic,4 Cylinder Engine 2.0L,Gasoline,Automatic,RWD,34,23,0,0,0,0,14995
WBS6C9C58ED466863,2014,6 Series,M6 Gran Coupe,0,0,1,42728,CA,AmaroBrown Full Merino Leather,Imperial Blue Metallic,8 Cylinder Engine 4.4L,Gasoline,Manual,RWD,20,14,1,1,0,0,46995
WBS6E9C54JG808280,2018,6 Series,M6 Gran Coupe,1,0,1,22386,CA,Black Full Merino Leather,Black Sapphire Metallic,8 Cylinder Engine 4.4L,Gasoline,Manual,RWD,20,14,1,1,0,0,79995
WBSJF0C58KB285136,2019,5 Series,M5 Sedan,0,0,1,12827,CA,Black Full Merino Leather,Black Sapphire Metallic,8 Cylinder Engine 4.4L,Gasoline,Automatic,AWD,21,15,1,1,0,0,89995
WBXHT3C30J5L27569,2018,X1,X1 xDrive28i,1,0,0,18875,CA,Black SensaTec,Jet Black,4 Cylinder Engine 2.0L,Gasoline,Automatic,AWD,31,22,0,0,0,0,31995
WBXHT3C31J5L26446,2018,X1,X1 xDrive28i,1,0,0,25875,CA,Mocha Dakota Leather,Jet Black,4 Cylinder Engine 2.0L,Gasoline,Automatic,AWD,31,22,0,0,0,0,29995
WBXHT3C33H5F85114,2017,X1,X1 xDrive28i SULEV,1,0,0,28212,CA,Canberra Beige SensaTec,Mediterranean Blue Metallic,4 Cylinder Engine 2.0L,Gasoline,Automatic,AWD,31,22,1,0,0,0,27995
WBXHT3C34J5F92112,2018,X1,X1 xDrive28i,1,0,0,31435,CA,Black SensaTec,Sunset Orange Metallic,4 Cylinder Engine 2.0L,Gasoline,Automatic,AWD,31,22,0,0,0,0,28995
WBXHT3C35J5F89719,2018,X1,X1 xDrive28i,1,0,0,35656,CA,Black SensaTec,Estoril Blue Metallic,4 Cylinder Engine 2.0L,Gasoline,Automatic,AWD,31,22,0,0,0,1,29995
WBXHT3C35J5K28925,2018,X1,X1 xDrive28i,1,0,0,27338,CA,Black Perforated Dakota Leathe,Glacier Silver Metallic,4 Cylinder Engine 2.0L,Gasoline,Automatic,AWD,31,22,0,0,0,0,29995
WBXHT3C36H5F85267,2017,X1,X1 xDrive28i SULEV,1,0,0,26841,CA,Black SensaTec,Alpine White,4 Cylinder Engine 2.0L,Gasoline,Automatic,AWD,31,22,0,0,0,0,25995
WBXHT3C36J5F90121,2018,X1,X1 xDrive28i,1,0,0,14833,CA,Canberra Beige Dakota Leather,Mediterranean Blue Metallic,4 Cylinder Engine 2.0L,Gasoline,Automatic,AWD,31,22,0,0,0,0,31995
